section,title,ingredients
soup,Canadian Yellow Split Pea Soup with Ham,"['1  ham bone with some meat', '2 ½ cups yellow split peas', '5 stalks celery, diced', '4  carrots, diced', '½ large Spanish onion, diced', '2 tablespoons kosher salt or to taste', '2 teaspoons dried thyme', '1  bay leaf (Optional)', '1 pinch ground black pepper, or to taste', '8 cups water, or as needed']"
soup,Chicken and Gnocchi Soup,"['1 tablespoon olive oil', '1 small onion, diced', '3 stalks celery, diced', '3 cloves garlic, minced', '2  carrots, shredded', '1 pound cooked, cubed chicken breast', '4 cups chicken broth', '1 (16 ounce) package mini potato gnocchi', '1 (6 ounce) bag baby spinach leaves', '1 tablespoon cornstarch (Optional)', '2 tablespoons cold water (Optional)', '2 cups half-and-half cream', 'salt and ground black pepper to taste']"
soup,Dry Onion Soup Mix,"['¼ cup dried onion flakes', '2 tablespoons low-sodium beef bouillon granules', '¼ teaspoon onion powder', '¼ teaspoon parsley flakes', '⅛ teaspoon celery seed', '⅛ teaspoon paprika', '⅛ teaspoon ground black pepper']"
soup,Jamie's Minestrone Soup,"['3 tablespoons olive oil', '3 cloves garlic, chopped', '2  onions, chopped', '2 cups chopped celery', '5  carrots, sliced', '4 cups tomato sauce', '2 cups chicken broth', '2 cups water', '½ cup red wine (Optional)', '3  zucchinis, quartered and sliced', '2 cups baby spinach, rinsed', '2 cups fresh or frozen green beans, cut into 1 ½-inch pieces', '1 cup canned kidney beans, drained', '2 tablespoons chopped fresh basil', '1 tablespoon chopped fresh oregano', 'salt and pepper to taste', '½ cup shell pasta', '2 tablespoons grated Parmesan cheese for topping', '1 tablespoon olive oil']"
soup,Slow Cooker French Onion Soup,"['6 tablespoons butter', '4 large yellow onions, sliced and separated into rings', '1 tablespoon white sugar', '2 cloves garlic, minced', '½ cup cooking sherry', '7 cups reduced-sodium beef broth', '1 teaspoon sea salt, or to taste', '¼ teaspoon dried thyme', '1  bay leaf', '8  slices of French bread', '½ cup shredded Gruyere cheese', '⅓ cup shredded Emmental cheese', '¼ cup freshly shredded Parmesan cheese', '2 tablespoons shredded mozzarella cheese']"
soup,Buffalo Chicken Soup,"['¼ cup butter', '3 stalks celery, diced', '1 small onion, diced', '¼ cup all-purpose flour', '¾ cup half-and-half cream', '3 cups water', '1 cube chicken bouillon', '2 cups cubed cooked chicken', '1 ½ cups shredded Cheddar cheese', '¼ cup Buffalo wing sauce, or more to taste', 'salt and pepper to taste']"
soup,Chef John's Ham and Potato Soup,"['1 ½ pounds Yukon Gold potatoes, peeled and diced', '1 medium onion, diced', '1 medium carrot, diced', '1 rib celery, diced', '8 ounces smoked ham, diced', '3 cloves garlic, sliced', '3 tablespoons butter', '¼ cup flour', '4 cups chicken broth', '2 cups water', '½ cup heavy cream', 'salt and pepper to taste', '1 pinch cayenne pepper', '1 tablespoon chopped fresh chives for garnish']"
soup,Cream of Chicken and Gnocchi Soup,"['½ cup margarine', '¾ cup finely chopped onion', '¾ cup finely chopped celery', '½ cup finely grated carrot', '1 ½ teaspoons minced garlic', '⅓ cup all-purpose flour', '4 cups chicken broth', '¾ cup half-and-half', '¾ cup milk', '1 (16 ounce) package potato gnocchi', '1 ½ cups chopped cooked chicken', '¾ cup shredded fresh spinach', '½ teaspoon dried rosemary', '½ teaspoon salt', '¼ teaspoon ground black pepper', '¼ teaspoon nutmeg']"
soup,Cream of Asparagus and Mushroom Soup,"['3 slices bacon', '¼ cup butter', '3 stalks celery, chopped', '1  onion, diced', '3 tablespoons all-purpose flour', '6 cups chicken broth', '1  potato, peeled and diced', '1 pound fresh asparagus, tips set aside and stalks chopped', 'salt and ground black pepper to taste', '1 (8 ounce) package sliced fresh mushrooms', '¾ cup half-and-half cream']"
soup,Zucchini Soup,"['½ cup butter', '2 pounds zucchini, cut into chunks', '1 (15 ounce) can chicken broth', '1 teaspoon salt', '1 teaspoon curry powder']"
soup,Butternut Squash Soup with Apple,"['2 tablespoons butter', '2 large leeks (white and pale green parts only), chopped', '1 large onion, chopped', '1 large potato, peeled and cubed', '2 cups cubed butternut squash', '1 cup diced carrots', '1  Granny Smith apple, peeled, cored, and sliced 1/4-inch thick', '1 quart chicken stock', '¼ cup dry white wine (Optional)', '½ cup light cream', '¼ teaspoon ground nutmeg', 'salt and pepper to taste', '2 tablespoons chopped chives']"
soup,Friendship Soup Mix in a Jar,"['½ cup dry split peas', '⅓ cup beef bouillon granules', '¼ cup pearl barley', '½ cup dry lentils', '¼ cup dried onion flakes', '2 teaspoons dried Italian seasoning', '½ cup uncooked long-grain white rice', '2  bay leaves', '½ cup uncooked alphabet pasta']"
soup,Party Italian Wedding Soup,"['1 (48 fluid ounce) can chicken broth', '1 (10 ounce) package frozen chopped spinach, thawed and drained', '2  onions, chopped', '2 cups chopped carrot', '2 stalks celery, chopped', '1 pound ground beef', '1 cup dry bread crumbs', '1  egg', '1 pound skinless, boneless chicken breast halves, cut into chunks', '3 ounces dry pasta', 'salt and pepper, to taste']"
soup,Ukrainian Red Borscht Soup,"['1 (16 ounce) package pork sausage', '3 medium beets, peeled and shredded', '3  carrots, peeled and shredded', '3 medium baking potatoes, peeled and cubed', '½ medium head cabbage, cored and shredded', '1 cup diced tomatoes, drained', '1 tablespoon vegetable oil', '1 medium onion, chopped', '1 (6 ounce) can tomato paste', '8 ¾ cups water, divided, or as needed', '3 cloves garlic, minced', '1 teaspoon white sugar, or to taste', 'salt and pepper to taste', '½ cup sour cream, for topping', 'freshly chopped dill or parsley for garnish']"
soup,Old-Fashioned Potato Soup,"['¼ cup butter', '1 large onion, chopped', '6  potatoes, peeled and diced', '2  carrots, diced', '3 cups water', '2 tablespoons chicken bouillon powder', 'ground black pepper to taste', '3 tablespoons all-purpose flour', '3 cups milk', '1 tablespoon dried parsley', '¼ teaspoon dried thyme']"
soup,French Onion Soup Gratinée,"['4 tablespoons butter', '2 large red onions, thinly sliced', '2 large sweet onions, thinly sliced', '1 teaspoon salt', '1 (48 fluid ounce) can chicken broth', '1 (14 ounce) can beef broth', '½ cup red wine', '1 tablespoon Worcestershire sauce', '2 sprigs fresh parsley', '1 sprig fresh thyme leaves', '1  bay leaf', '1 tablespoon balsamic vinegar', 'salt and freshly ground black pepper to taste', '4 thick slices French bread', '8 slices Gruyère cheese, at room temperature', '½ cup shredded Asiago cheese, at room temperature', '4 pinches paprika']"
soup,Tomato Basil Soup,"['6 tablespoons butter', '1  onion, thinly sliced', '15  baby carrots, thinly sliced', '2 stalks celery, thinly sliced', '3 cloves garlic, chopped', ""1 (28 ounce) can tomato sauce (such as Hunt's®)"", ""1 (8 ounce) can tomato sauce (such as Hunt's®)"", '1 ¼ cups chicken broth', '2 tablespoons chopped fresh basil', '1 tablespoon chopped fresh oregano', 'salt and ground black pepper to taste', '1 ½ cups heavy whipping cream']"
soup,Grandma's Chicken Noodle Soup,"['2 ½ cups wide egg noodles', '1 teaspoon vegetable oil', '12 cups chicken broth', '1 ½ tablespoons salt', '1 teaspoon poultry seasoning', '1 cup chopped celery', '1 cup chopped onion', '⅓ cup cornstarch', '¼ cup water', '3 cups diced, cooked chicken meat']"
soup,Tomatillo Soup,"['2  skinless, boneless chicken breast halves - pounded thin', '3 tablespoons olive oil', '1  onion, chopped', '3 cloves garlic, minced', '1 pound chopped tomatillos', '2 jalapeño peppers, seeded and minced', '4 cups chicken stock', '½ teaspoon hot pepper sauce (Optional)', '¼ teaspoon cayenne pepper (Optional)', '2 tablespoons chopped fresh cilantro', '¼ cup sour cream (Optional)', 'salt to taste', 'ground black pepper to taste']"
soup,Almost Tuscan Sausage and Kale Soup,"['1 tablespoon olive oil, or as needed', '1 large onion, chopped', '2 cloves garlic, crushed', '1 pinch red pepper flakes, or to taste', '1 pinch ground black pepper, or to taste', '1 pound bulk hot Italian sausage, removed from casings and crumbled', '½ teaspoon chopped fresh basil', '¼ teaspoon smoked paprika (Optional)', '6 cups low-sodium chicken broth', '4 cups chopped kale', '1 (15 ounce) can cannellini beans, drained and rinsed', '1 cup peeled and chopped yellow potatoes, or more to taste']"
soup,Slow Cooker Chicken Tortilla Soup,"['1 pound shredded, cooked chicken', '1 (15 ounce) can whole peeled tomatoes, mashed', '1 (10 ounce) can enchilada sauce', '1 (4 ounce) can chopped green chile peppers', '1 medium onion, chopped', '2 cloves garlic, minced', '2 cups water', '1 (14.5 ounce) can chicken broth', '1 teaspoon cumin', '1 teaspoon chili powder', '1 teaspoon salt', '¼ teaspoon black pepper', '1  bay leaf', '1 (10 ounce) package frozen corn', '1 tablespoon chopped cilantro', '7  corn tortillas', '2 tablespoons vegetable oil, or as needed']"
soup,Easy Cheesy Cream of Broccoli Soup,"['1 (10 ounce) package frozen chopped broccoli', '1 (10.75 ounce) can  condensed cream of mushroom soup', '1 ¼ cups milk', '8 ounces processed cheese food (eg. Velveeta)', 'salt and pepper to taste']"
soup,Reuben Soup,"['3 tablespoons butter', '½ cup chopped onion', '¼ cup chopped celery', '¼ cup all-purpose flour', '3 cups water', '4 cubes beef bouillon', '3 cups half-and-half cream', '3 cups shredded Swiss cheese, divided', '8 ounces shredded corned beef', '1 cup sauerkraut, drained', '8 slices rye bread, toasted and cut into triangles']"
soup,Radish Top Soup,"['2 tablespoons butter', '1 large onion, diced', '2 medium potatoes, sliced', '4 cups raw radish greens', '4 cups chicken broth', '⅓ cup heavy cream', '5  radishes, sliced']"
soup,Catherine's Spicy Chicken Soup,"['2 quarts water', '8  skinless, boneless chicken breast halves', '½ teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon garlic powder', '2 tablespoons dried parsley', '1 tablespoon onion powder', '5 cubes  chicken bouillon', '3 tablespoons olive oil', '1  onion, chopped', '3 cloves garlic, chopped', '1 (16 ounce) jar chunky salsa', '2 (14.5 ounce) cans peeled and diced tomatoes', '1 (14.5 ounce) can whole peeled tomatoes', '1 (10.5 ounce) can  condensed tomato soup (such as Campbell’s)', '3 tablespoons chili powder', '1 (15 ounce) can whole kernel corn, drained', '2 (16 ounce) cans chili beans, undrained', '1 (8 ounce) container sour cream']"
soup,Vegan Black Bean Soup,"['1 tablespoon olive oil', '1 large onion, chopped', '2  carrots, chopped', '1 rib of  celery, chopped', '4 cloves garlic, chopped', '2 tablespoons chili powder', '1 tablespoon ground cumin', '1 pinch black pepper', '4 cups vegetable broth', '4 (15 ounce) cans black beans, undrained, divided', '1 (15 ounce) can whole kernel corn', '1 (14.5 ounce) can crushed tomatoes']"
soup,Restaurant-Style French Onion Soup,"['½ cup butter', '8  onions, sliced', '2 cloves garlic, crushed', '1 teaspoon dried thyme', '½ teaspoon salt, or to taste', '½ teaspoon ground black pepper, or to taste', '1 cup red wine', '1 tablespoon sherry', '2 tablespoons all-purpose flour', '2 quarts beef broth', '1  French baguette, cut into 1/2-inch thick slices', '2 tablespoons olive oil, or as needed', '6 slices Swiss cheese', '6 slices provolone cheese']"
soup,Cream of Carrot Soup,"['¼ cup butter, cubed', '2 ½ cups sliced carrots', '1 large potato, peeled and cubed', '1 cup chopped onion', '1 stalk celery, chopped', '3 cups chicken broth', '1 teaspoon ground ginger', '½ cup heavy whipping cream', '1 teaspoon curry powder', '½ teaspoon salt', '⅛ teaspoon ground black pepper']"
soup,World's Best Potato Soup,"['8  unpeeled potatoes, cubed', '1  onion, chopped', '2 stalks celery, diced', '6 cubes  chicken bouillon', '1 pint half-and-half cream', '1 pound bacon - cooked and crumbled', '1 (10.5 ounce) can  condensed cream of mushroom soup', '2 cups shredded Cheddar cheese']"
soup,Spinach and Leek White Bean Soup,"['2 teaspoons olive oil', '4  leeks, bulb only, chopped', '2 cloves garlic, chopped', '2 (16 ounce) cans fat-free chicken broth', '2 (16 ounce) cans cannellini beans, rinsed and drained', '2  bay leaves', '2 teaspoons ground cumin', '½ cup whole wheat couscous', '2 cups packed fresh spinach', 'salt and pepper to taste']"
soup,Creamy Slow Cooker Potato Soup,"['3 cups peeled and cubed potatoes', '1 cup chicken stock', '½ cup chopped celery', '½ cup chopped onion', '1 teaspoon dried parsley', '½ teaspoon salt', '1 pinch ground black pepper', '1 ½ cups milk', '2 teaspoons all-purpose flour', '1 cup chopped ham', '½ (8 ounce) package cream cheese']"
soup,Creamy Italian White Bean Soup,"['1 tablespoon vegetable oil', '1  onion, chopped', '1 rib celery, chopped', '1 clove garlic, minced', '2 (16 ounce) cans white cannellini beans, rinsed and drained', '1 (14 ounce) can chicken broth', '¼ teaspoon ground black pepper', '⅛ teaspoon dried thyme', '2 cups water', '1 bunch fresh spinach, rinsed and thinly sliced', '1 tablespoon lemon juice']"
soup,Old Man's Turkey Noodle Soup,"['3  turkey drumsticks', '3 quarts water', '2 large onions, chopped', '4  carrots, chopped', '3 stalks celery, chopped', '4 cloves garlic, chopped', '1 tablespoon salt', '½ teaspoon ground black pepper', '½ teaspoon ground dried sage', '½ teaspoon dried thyme', '½ teaspoon dried rosemary', '½ teaspoon celery salt', '2 cups uncooked egg noodles']"
soup,Coconut Curry Butternut Squash Soup,"['1  butternut squash, halved and seeded', '1 tablespoon butter, melted', '1 teaspoon salt, divided', '¾ teaspoon pumpkin pie spice, divided', '¼ teaspoon cayenne pepper', '1 tablespoon butter', '½ cup chopped yellow onion', '1 teaspoon yellow curry powder', '1 (13 ounce) can coconut milk', '2 ½ cups vegetable stock, or more if needed', '¼ teaspoon freshly grated nutmeg', '½ cup pepitas (pumpkin seeds)', '1 pinch freshly grated nutmeg, or to taste']"
